,source,text,timestamp,compound,positive,negative,neutral,tweet_index
95,BBC,"'If you don't get the angle right, it's not going to work.'
Can you #DoTheHuw? ? https://t.co/hYxrN6C790",Dec/08/2017,0.0,0.0,0.0,1.0,95
96,BBC,Stewards working at Prince Harry &amp; Meghan Markle's Royal Wedding have been told to watch Suits before the big day.… https://t.co/ErN62dBvF6,Dec/08/2017,0.0,0.0,0.0,1.0,96
97,BBC,"The perfect warm drink for cold December evenings. ??? 
Via @BBCFood. https://t.co/clDVQqgSOj",Dec/08/2017,0.6808,0.359,0.0,0.641,97
98,BBC,"RT @bbcworldservice: ""Falls reduced by 60%."" Why some care home residents are 'pimping' their walking frames. Follow the link for more from…",Dec/08/2017,0.4939,0.132,0.0,0.868,98
99,BBC,Professional clowns must choose a unique facial makeup design – and they have an unusual way of ‘protecting’ it fro… https://t.co/zmkytd7z8v,Dec/08/2017,0.0,0.0,0.0,1.0,99
100,CBS,"Due to NFL overrun, CBS is delayed 8 mins in the following ET &amp; CT markets: Hunstville, AL, Bowling Green, KY, MS,… https://t.co/gbwhgooEQd",Dec/11/2017,-0.2263,0.0,0.083,0.917,0
101,CBS,"Due to NFL overrun CBS is delayed 7 mins in the following ET &amp; CT markets Tampa, Chicago, Maryland, Michigan, Wash… https://t.co/driVgCiX7D",Dec/11/2017,-0.2263,0.0,0.087,0.913,1
102,CBS,"RT @NoActivityCBS: If you want the intel, you get the tickles. ? Stream the first 5 episodes of #NoActivity now: https://t.co/Wzq9bVOhGN ht…",Dec/10/2017,0.0772,0.064,0.0,0.936,2
103,CBS,RT @startrekcbs: .@albinokid and @wcruz73 are breaking new ground in #StarTrekDiscovery. ???? Stream chapter 1 on CBS All Access: https://t…,Dec/10/2017,0.0,0.0,0.0,1.0,3
104,CBS,Don’t miss America’s Game! Stream the Army-Navy game LIVE today at 3PM ET with a FREE trial of #CBSAllAccess:… https://t.co/38udnQj2vs,Dec/09/2017,0.5754,0.189,0.07,0.742,4
105,CBS,"There's still time before we have to say so long! Catch up with Carol Burnett, her original castmates and special g… https://t.co/WTiK8dzaXO",Dec/09/2017,0.6476,0.209,0.0,0.791,5
106,CBS,RT @bigbangtheory: It's the biggest best friend breakup of the year... ? Stream the latest full episode of #BigBangTheory: https://t.co/iIw…,Dec/08/2017,0.8126,0.303,0.0,0.697,6
107,CBS,"RT @AmazingRaceCBS: Presenting... the 30th cast of the #AmazingRace! Made up of champions and winners, this is quite literally the most com…",Dec/07/2017,0.7777,0.254,0.0,0.746,7
108,CBS,Do you know all the nominees for Song Of The Year? Get familiar with this year's GRAMMY® Award nominees ahead of Mu… https://t.co/I6hhOtfQjb,Dec/07/2017,0.5423,0.137,0.0,0.863,8
109,CBS,"A new Twilight Zone original series is coming exclusively to CBS All Access in association with @JordanPeele,… https://t.co/fVYnhUASee",Dec/06/2017,0.3182,0.126,0.0,0.874,9
110,CBS,RT @SuperiorDonuts: You'll want to check this box! ?? Stream the latest episode of #SuperiorDonuts: https://t.co/h1xhKLCAPl https://t.co/d8…,Dec/05/2017,0.1511,0.09,0.0,0.91,10
111,CBS,RT @YoungSheldon: Wondering what it's like behind the scenes of #YoungSheldon? Let star @OfficialRaeganR take you on a tour of the set! htt…,Dec/05/2017,0.4199,0.117,0.0,0.883,11
112,CBS,The Kennedy Center Honors recognizes the lifetime contributions of all types of performance artists. Watch the 40th… https://t.co/azF3rW2ptw,Dec/05/2017,0.5106,0.163,0.0,0.837,12
